,state,total
0,Alabama,8090695.97
1,Alaska,6566776.0
2,Arizona,101429128.13
3,Arkansas,1358304.8399999999
4,California,31136730.89
5,Colorado,2246929.4699999997
6,Connecticut,541749.0
7,Delaware,395207.24
8,Florida,2937466.74
9,Georgia,2863291.07
10,Hawaii,18928907.78
11,Idaho,663107.24
12,Illinois,116619541.28999999
13,Indiana,2072885.98
14,Iowa,10946174.43
15,Kansas,1929378.51
16,Kentucky,3810708.38
17,Louisiana,784246.0
18,Maine,86692063.58
19,Maryland,974514.29
20,Massachusetts,27290258.84
21,Michigan,3031936.07
22,Minnesota,15029302.93
23,Mississippi,1235250.54
24,Missouri,2484471.05
25,Montana,467742.17
26,Nebraska,4126493.6999999997
27,Nevada,380324.0
28,New Hampshire,1313587.1600000001
29,New Jersey,4224380.0
30,New Mexico,438704.0
31,New York,102507684.0
32,North Carolina,326761607.32
33,North Dakota,35537904.81
34,Ohio,1770835.09
35,Oklahoma,5320773.84
36,Oregon,18260128.07
37,Pennsylvania,1863264.57
38,Rhode Island,569591.76
39,South Carolina,91175225.64
40,South Dakota,656351.15
41,Tennessee,1516207.59
42,Texas,40925642.53
43,Utah,151378.69
44,Vermont,582942.63
45,Virginia,857395.0700000001
46,Washington,27031972.419999998
47,West Virginia,1044097.85
48,Wisconsin,114570982.21000001
49,Wyoming,249379.0
